Date,Open,High,Low,Close,Adj Close,Volume
2019-09-08,10000.0,10412.65,10000.0,10391.63,10391.63,32096280.44997
2019-09-09,10316.62,10475.54,10077.22,10307.0,10307.0,152447209.57153
2019-09-10,10307.0,10382.97,9940.87,10102.02,10102.02,92717645.1747
2019-09-11,10094.27,10293.11,9884.31,10159.55,10159.55,109786235.83974
2019-09-12,10163.06,10450.13,10042.12,10415.13,10415.13,159494237.43414
2019-09-13,10414.96,10440.55,10153.51,10341.34,10341.34,198205401.80487
2019-09-14,10343.01,10419.97,10222.77,10332.25,10332.25,213270510.33553
2019-09-15,10333.47,10359.2,10024.81,10302.22,10302.22,211512546.03807
2019-09-16,10302.0,10353.81,10080.7,10249.27,10249.27,206767492.67183
2019-09-17,10257.3,10270.63,10136.77,10186.52,10186.52,229911548.18276
2019-09-18,10183.87,10256.65,10097.92,10155.16,10155.16,212309755.01688
2019-09-19,10154.7,10331.62,9530.02,10245.3,10245.3,262112110.02615
2019-09-20,10247.7,10279.3,10070.5,10166.35,10166.35,236683803.67808
2019-09-21,10166.56,10175.3,9912.63,9983.33,9983.33,237320660.25696
2019-09-22,9992.7,10089.52,9857.0,10023.04,10023.04,238688620.33846
2019-09-23,10027.69,10046.91,9620.0,9701.96,9701.96,314749491.6271
2019-09-24,9701.1,9792.83,8645.61,8645.61,8645.61,286175252.41144
2019-09-25,8493.32,8725.24,8200.0,8430.07,8430.07,406841550.16218
2019-09-26,8428.15,8464.4,7700.67,8060.15,8060.15,487919029.55307
2019-09-27,8061.98,8260.0,7851.94,8176.52,8176.52,321440849.1052
2019-09-28,8178.26,8311.0,8001.14,8195.38,8195.38,275406180.40421
2019-09-29,8199.0,8226.35,7888.98,8041.96,8041.96,289320913.71819
2019-09-30,8042.08,8331.89,7709.01,8285.84,8285.84,436701925.16117
2019-10-01,8285.31,8499.0,8171.0,8290.0,8290.0,327218811.62991
2019-10-02,8290.0,8365.92,8149.35,8352.14,8352.14,249785989.08192
2019-10-03,8353.4,8386.0,8020.0,8220.27,8220.27,274334928.39047
2019-10-04,8219.95,8227.42,7979.95,8130.56,8130.56,230978393.31482
2019-10-05,8130.0,8175.0,8010.0,8122.14,8122.14,244744089.06028
2019-10-06,8122.01,8148.43,7760.0,7852.79,7852.79,333155725.01068
2019-10-07,7851.01,8330.0,7764.42,8186.88,8186.88,504822438.82757
2019-10-08,8188.55,8322.01,8103.88,8167.62,8167.62,366576763.24705
2019-10-09,8168.33,8700.0,8113.0,8559.77,8559.77,549731852.71201
2019-10-10,8559.77,8640.89,8419.34,8556.02,8556.02,377726959.91583
2019-10-11,8557.0,8788.0,8210.0,8255.58,8255.58,582172642.93171
2019-10-12,8255.54,8397.45,8248.34,8300.22,8300.22,314379330.82757
2019-10-13,8300.31,8456.0,8137.3,8274.66,8274.66,365285901.78075
2019-10-14,8274.33,8381.77,8205.02,8346.05,8346.05,514903627.22129
2019-10-15,8346.31,8408.62,8080.0,8160.01,8160.01,711597427.6843
2019-10-16,8160.55,8184.0,7900.24,7992.21,7992.21,566811841.94844
2019-10-17,7994.76,8124.63,7930.0,8069.2,8069.2,468701651.96454
2019-10-18,8069.41,8117.3,7812.0,7943.94,7943.94,597673590.50877
2019-10-19,7945.57,8108.54,7852.12,7947.13,7947.13,620945265.24094
2019-10-20,7947.78,8300.5,7871.17,8218.23,8218.23,631533255.81236
2019-10-21,8218.23,8334.57,8150.0,8201.74,8201.74,492366045.41501
2019-10-22,8201.0,8290.0,8000.0,8020.89,8020.89,568694788.53218
2019-10-23,8020.68,8047.78,7172.76,7465.0,7465.0,828695587.22741
2019-10-24,7465.18,7495.81,7337.44,7411.35,7411.35,495690565.11975
2019-10-25,7410.07,8800.0,7359.0,8650.0,8650.0,1351037936.49978
2019-10-26,8650.0,10408.48,8626.89,9232.22,9232.22,2322814045.64929
2019-10-27,9234.75,9803.83,9066.07,9533.32,9533.32,1551811193.38667
2019-10-28,9534.37,9930.13,9156.03,9217.36,9217.36,1475693085.47329
2019-10-29,9215.78,9569.1,9070.0,9415.02,9415.02,1169427308.33374
2019-10-30,9415.02,9418.65,8975.72,9165.3,9165.3,904505540.99763
2019-10-31,9163.4,9438.64,8933.0,9150.0,9150.0,907028492.3851
2019-11-01,9149.88,9280.0,9050.27,9231.01,9231.01,798942104.65699
2019-11-02,9231.7,9375.0,9194.98,9287.8,9287.8,524748680.13959
2019-11-03,9288.96,9366.69,9073.0,9197.88,9197.88,695623695.12204
2019-11-04,9197.86,9550.0,9126.01,9395.46,9395.46,841596521.34874
2019-11-05,9395.47,9457.13,9164.33,9313.2,9313.2,1060847258.19057
2019-11-06,9313.1,9450.0,9259.48,9343.6,9343.6,689203217.44144
2019-11-07,9344.29,9381.93,9091.2,9219.64,9219.64,714933248.83024
2019-11-08,9221.63,9259.3,8669.85,8775.03,8775.03,1355101393.82227
2019-11-09,8775.6,8878.0,8727.0,8811.15,8811.15,588949194.26502
2019-11-10,8811.3,9187.0,8760.0,9041.31,9041.31,814629855.82619
2019-11-11,9041.31,9072.91,8611.11,8728.93,8728.93,996043073.24061
2019-11-12,8729.89,8889.06,8552.12,8817.0,8817.0,938793146.96562
2019-11-13,8817.94,8838.0,8712.0,8774.76,8774.76,513537401.05586
2019-11-14,8774.78,8798.06,8581.39,8642.25,8642.25,754801551.10366
2019-11-15,8642.47,8780.0,8380.0,8473.27,8473.27,1246865100.25388
2019-11-16,8473.3,8540.54,8435.0,8491.06,8491.06,412710046.69823
2019-11-17,8491.18,8631.0,8355.78,8504.04,8504.04,614653043.32686
2019-11-18,8504.13,8504.71,8050.0,8183.26,8183.26,1028202469.94838
2019-11-19,8183.3,8212.87,8000.0,8131.7,8131.7,898778770.86044
2019-11-20,8131.12,8230.0,8037.5,8094.05,8094.05,708540147.01943
2019-11-21,8094.57,8131.51,7432.0,7621.9,7621.9,1400628627.16021
2019-11-22,7621.89,7765.03,6762.73,7262.72,7262.72,2688155961.2517
2019-11-23,7261.89,7345.84,7073.38,7305.99,7305.99,1008592734.24347
2019-11-24,7306.19,7324.92,6855.91,6900.86,6900.86,1303419525.39099
2019-11-25,6899.77,7386.29,6510.19,7102.03,7102.03,2320368143.08612
2019-11-26,7103.34,7340.06,7011.9,7150.0,7150.0,1384559257.5458
2019-11-27,7149.97,7669.2,6850.0,7506.77,7506.77,2162938473.36819
2019-11-28,7506.78,7643.0,7356.0,7415.79,7415.79,1314201480.28623
2019-11-29,7417.0,7850.0,7394.57,7736.66,7736.66,1415257727.65399
2019-11-30,7737.23,7800.0,7444.18,7542.93,7542.93,1081497211.80452
2019-12-01,7541.08,7541.08,7222.29,7387.38,7387.38,1442570909.2943
2019-12-02,7388.0,7416.75,7137.74,7291.0,7291.0,1049763091.44412
2019-12-03,7291.74,7404.42,7231.35,7290.86,7290.86,618921233.00419
2019-12-04,7290.85,7800.0,7070.0,7191.0,7191.0,2010415073.79885
2019-12-05,7189.42,7480.0,7142.54,7384.99,7384.99,1291358111.12701
2019-12-06,7384.66,7602.44,7295.73,7522.1,7522.1,1009056959.83042
2019-12-07,7521.13,7616.91,7467.44,7487.2,7487.2,625725539.4267
2019-12-08,7487.19,7559.39,7376.0,7508.2,7508.2,631265923.89387
2019-12-09,7507.87,7676.48,7269.05,7337.49,7337.49,1017059787.60653
2019-12-10,7338.2,7403.71,7152.0,7220.98,7220.98,923135831.85705
2019-12-11,7220.92,7267.0,7117.74,7205.77,7205.77,701421427.95292
2019-12-12,7206.78,7295.12,7080.0,7194.77,7194.77,1009269923.91096
2019-12-13,7194.08,7298.0,7190.0,7252.98,7252.98,580009722.04465
2019-12-14,7252.98,7266.14,7007.86,7061.34,7061.34,697707778.24799
2019-12-15,7060.79,7196.0,7004.77,7115.0,7115.0,623906287.16733
2019-12-16,7115.45,7147.34,6831.0,6887.54,6887.54,823110567.19727
2019-12-17,6887.48,6940.0,6550.0,6618.96,6618.96,1119916913.96774
2019-12-18,6618.96,7479.99,6427.0,7277.44,7277.44,2241615061.57224
2019-12-19,7278.11,7367.87,7042.82,7146.29,7146.29,1136320673.87998
2019-12-20,7146.29,7217.08,7078.17,7184.39,7184.39,618061855.49459
2019-12-21,7184.39,7185.0,7108.0,7131.01,7131.01,316691491.64633
2019-12-22,7131.02,7517.61,7122.0,7502.92,7502.92,948741532.63742
2019-12-23,7502.92,7691.0,7262.0,7314.01,7314.01,1615203184.89148
2019-12-24,7314.03,7434.55,7156.08,7252.04,7252.04,1087303262.61196
2019-12-25,7251.57,7267.63,7123.19,7201.45,7201.45,699094669.90656
2019-12-26,7201.67,7438.8,7151.0,7197.46,7197.46,973097296.8158
2019-12-27,7197.84,7270.0,7078.89,7248.4,7248.4,808407623.10806
2019-12-28,7248.4,7359.15,7235.0,7311.48,7311.48,667101749.38177
2019-12-29,7310.29,7527.0,7283.6,7383.67,7383.67,756943061.50809
2019-12-30,7383.68,7400.0,7215.58,7240.43,7240.43,689435672.16509
2019-12-31,7240.8,7319.0,7141.0,7189.0,7189.0,643792056.63886
2020-01-01,7189.43,7260.43,7170.15,7197.57,7197.57,409678760.56957
2020-01-02,7197.57,7209.59,6922.0,6962.04,6962.04,815627831.08338
2020-01-03,6962.34,7407.28,6863.44,7341.72,7341.72,1507313613.42952
2020-01-04,7341.6,7400.0,7269.21,7350.71,7350.71,678402363.73751
2020-01-05,7350.54,7495.0,7303.0,7354.36,7354.36,874488521.38096
2020-01-06,7354.36,7808.65,7345.0,7757.39,7757.39,1272203777.30362
2020-01-07,7757.74,8215.33,7733.0,8152.49,8152.49,2233372067.10005
2020-01-08,8150.9,8468.42,7870.11,8059.84,8059.84,2644782835.79284
2020-01-09,8059.77,8060.0,7750.01,7818.59,7818.59,1478591346.02358
